name,cat,backbone,n,delta,lo,hi,p,worse,base_ade,arm_ade,base_ep,arm_ep,bh,holm
Position one-hot + BMI,identity,TS,3,0.16850000000000018,0.1244718563201061,0.21252814367989425,0.0036677010564876906,3,4.147866666666666,4.316366666666666,29.0,14.666666666666666,true,false
Weight + height [TS],identity,TS,5,0.06402000000000019,0.03247117718019323,0.09556882281980714,0.004883659892874054,5,4.10754,4.1715599999999995,28.8,24.0,true,false
"k-NN opponent, k=2",graph,TS,5,0.04591999999999992,0.02135585009755382,0.07048414990244602,0.006559865611945571,5,4.10834,4.154259999999999,26.4,42.2,true,false
Position one-hot,identity,TS,3,0.12509999999999977,0.08006168582651225,0.1701383141734873,0.006928594322933416,3,4.147866666666666,4.272966666666666,29.0,16.666666666666668,true,false
Team identity (16d) [STGNN],identity,STGNN,5,0.06199999999999992,0.02831530109957267,0.09568469890042718,0.006932618943989256,5,4.076739999999999,4.13874,27.6,24.4,true,false
All features (55 ch.),identity,TS,3,0.16100000000000017,0.05687461864302601,0.26512538135697433,0.021855798850631027,3,4.147866666666666,4.308866666666667,29.0,NaN,false,false
Motion dynamics,motion,TS,3,-0.04236666666666652,-0.09187605683762068,0.00714272350428765,0.06649264748998875,0,4.147866666666666,4.1055,29.0,22.666666666666668,false,false
Score + win probability,situation,TS,3,0.005166666666666468,-0.00227469766616256,0.012608030999495496,0.09615997481945847,3,4.147866666666666,4.153033333333333,29.0,28.666666666666668,false,false
"k-NN opponent, k=3",graph,TS,5,0.011059999999999803,-0.0045841287244682664,0.02670412872446787,0.12115452068323201,5,4.10834,4.1194,26.4,39.0,false,false
Motion dynamics + BMI,motion,TS,3,-0.03046666666666642,-0.08384345878947916,0.02291012545614631,0.1334106186054356,0,4.147866666666666,4.1174,29.0,18.0,false,false
Kinematics,motion,TS,3,-0.030166666666666824,-0.08605277235597827,0.025719439022644622,0.14588389420259545,0,4.147866666666666,4.1177,29.0,21.333333333333332,false,false
Game state [Trf],situation,Trf,5,-0.013700000000000045,-0.03626995434094345,0.008869954340943356,0.16721068512504367,1,4.60286,4.589160000000001,43.0,43.0,false,false
"k-NN opponent, k=8",graph,TS,5,-0.01896000000000022,-0.05336189148830335,0.015441891488302911,0.20071374925136767,1,4.10834,4.08938,26.4,37.8,false,false
"k-NN opponent, k=5",graph,TS,5,-0.012280000000000157,-0.03533275532547917,0.01077275532547886,0.2132295026692074,1,4.10834,4.09606,26.4,36.4,false,false
Pre-snap context (11d),situation,TS,3,0.004266666666666789,-0.010557899070236534,0.01909123240357011,0.3412206346795132,2,4.147866666666666,4.1521333333333335,29.0,22.333333333333332,false,false
Context + down/yards,situation,TS,3,0.031133333333333308,-0.07980012815369016,0.14206679482035678,0.3506510000709578,2,4.147866666666666,4.178999999999999,29.0,20.333333333333332,false,false
Formation + box [STGNN],situation,STGNN,5,0.006559999999999988,-0.023725607781851447,0.036845607781851426,0.5800007502565794,3,4.076739999999999,4.0832999999999995,27.6,26.4,false,false
Game state [TS],situation,TS,5,0.005880000000000329,-0.03486487821734616,0.046624878217346816,0.7091376490243638,2,4.11988,4.1257600000000005,32.8,29.0,false,false
Age,identity,TS,3,-0.0023333333333335204,-0.10139105658403548,0.09672438991736844,0.9285178937032205,2,4.147866666666666,4.145533333333333,29.0,30.0,false,false
Weight + height [Trf],identity,Trf,5,-0.0009000000000002117,-0.04365211608494256,0.04185211608494213,0.9561947340796556,3,4.6079799999999995,4.607080000000001,43.8,40.2,false,false
