model,arm,seed,model_dim,num_layers,window,params,val_loss,test_ade,n_test_nonmirrored,best_ckpt
hybrid_ts,off,0,128,4,15,866866,2.274,4.1393,80062,models/gamestate_hybrid_ts/off_S0/checkpoints/epoch=29-val_loss=2.274.ckpt
hybrid_ts,off,1,128,4,15,866866,2.268,4.1438,80062,models/gamestate_hybrid_ts/off_S1/checkpoints/epoch=31-val_loss=2.268.ckpt
hybrid_ts,off,2,128,4,15,866866,2.281,4.1149,80062,models/gamestate_hybrid_ts/off_S2/checkpoints/epoch=34-val_loss=2.281.ckpt
hybrid_ts,off,3,128,4,15,866866,2.256,4.1037,80062,models/gamestate_hybrid_ts/off_S3/checkpoints/epoch=36-val_loss=2.256.ckpt
hybrid_ts,off,4,128,4,15,866866,2.257,4.0977,80062,models/gamestate_hybrid_ts/off_S4/checkpoints/epoch=34-val_loss=2.257.ckpt
hybrid_ts,on,0,128,4,15,871096,2.269,4.1255,80062,models/gamestate_hybrid_ts/on_S0/checkpoints/epoch=28-val_loss=2.269.ckpt
hybrid_ts,on,1,128,4,15,871096,2.266,4.123,80062,models/gamestate_hybrid_ts/on_S1/checkpoints/epoch=33-val_loss=2.266.ckpt
hybrid_ts,on,2,128,4,15,871096,2.262,4.0955,80062,models/gamestate_hybrid_ts/on_S2/checkpoints/epoch=29-val_loss=2.262.ckpt
hybrid_ts,on,3,128,4,15,871096,2.271,4.1466,80062,models/gamestate_hybrid_ts/on_S3/checkpoints/epoch=29-val_loss=2.271.ckpt
hybrid_ts,on,4,128,4,15,871096,2.274,4.1382,80062,models/gamestate_hybrid_ts/on_S4/checkpoints/epoch=26-val_loss=2.274.ckpt
transformer,off,0,128,2,1,418738,2.545,4.6078,80062,models/gamestate_transformer/off_S0/checkpoints/epoch=43-val_loss=2.545.ckpt
transformer,off,1,128,2,1,418738,2.553,4.6111,80062,models/gamestate_transformer/off_S1/checkpoints/epoch=37-val_loss=2.553.ckpt
transformer,off,2,128,2,1,418738,2.549,4.5994,80062,models/gamestate_transformer/off_S2/checkpoints/epoch=46-val_loss=2.549.ckpt
transformer,off,3,128,2,1,418738,2.543,4.6117,80062,models/gamestate_transformer/off_S3/checkpoints/epoch=42-val_loss=2.543.ckpt
transformer,off,4,128,2,1,418738,2.534,4.5843,80062,models/gamestate_transformer/off_S4/checkpoints/epoch=47-val_loss=2.534.ckpt
transformer,on,0,128,2,1,422968,2.549,4.5978,80062,models/gamestate_transformer/on_S0/checkpoints/epoch=39-val_loss=2.549.ckpt
transformer,on,1,128,2,1,422968,2.548,4.6045,80062,models/gamestate_transformer/on_S1/checkpoints/epoch=38-val_loss=2.548.ckpt
transformer,on,2,128,2,1,422968,2.535,4.588,80062,models/gamestate_transformer/on_S2/checkpoints/epoch=40-val_loss=2.535.ckpt
transformer,on,3,128,2,1,422968,2.525,4.5673,80062,models/gamestate_transformer/on_S3/checkpoints/epoch=57-val_loss=2.525.ckpt
transformer,on,4,128,2,1,422968,2.535,4.5882,80062,models/gamestate_transformer/on_S4/checkpoints/epoch=41-val_loss=2.535.ckpt
