topology,k,edge_features,seed,model_dim,num_layers,window,ordering,params,val_loss,test_ade,n_test_nonmirrored,best_ckpt
full,5,1,0,128,4,15,ts,866978,2.254,4.1043,80062,models/graph_knn/full_k5_S0/checkpoints/epoch=34-val_loss=2.254.ckpt
full,5,1,1,128,4,15,ts,866978,2.251,4.0913,80062,models/graph_knn/full_k5_S1/checkpoints/epoch=22-val_loss=2.251.ckpt
full,5,1,2,128,4,15,ts,866978,2.268,4.1307,80062,models/graph_knn/full_k5_S2/checkpoints/epoch=22-val_loss=2.268.ckpt
full,5,1,3,128,4,15,ts,866978,2.262,4.1159,80062,models/graph_knn/full_k5_S3/checkpoints/epoch=24-val_loss=2.262.ckpt
full,5,1,4,128,4,15,ts,866978,2.243,4.0995,80062,models/graph_knn/full_k5_S4/checkpoints/epoch=30-val_loss=2.243.ckpt
knn_opponent,2,1,0,128,4,15,ts,866978,2.26,4.1707,80062,models/graph_knn/knn_opponent_k2_S0/checkpoints/epoch=40-val_loss=2.260.ckpt
knn_opponent,2,1,1,128,4,15,ts,866978,2.259,4.1326,80062,models/graph_knn/knn_opponent_k2_S1/checkpoints/epoch=40-val_loss=2.259.ckpt
knn_opponent,2,1,2,128,4,15,ts,866978,2.268,4.1774,80062,models/graph_knn/knn_opponent_k2_S2/checkpoints/epoch=42-val_loss=2.268.ckpt
knn_opponent,2,1,3,128,4,15,ts,866978,2.266,4.1313,80062,models/graph_knn/knn_opponent_k2_S3/checkpoints/epoch=45-val_loss=2.266.ckpt
knn_opponent,2,1,4,128,4,15,ts,866978,2.272,4.1593,80062,models/graph_knn/knn_opponent_k2_S4/checkpoints/epoch=44-val_loss=2.272.ckpt
knn_opponent,3,1,0,128,4,15,ts,866978,2.242,4.1076,80062,models/graph_knn/knn_opponent_k3_S0/checkpoints/epoch=37-val_loss=2.242.ckpt
knn_opponent,3,1,1,128,4,15,ts,866978,2.257,4.1241,80062,models/graph_knn/knn_opponent_k3_S1/checkpoints/epoch=40-val_loss=2.257.ckpt
knn_opponent,3,1,2,128,4,15,ts,866978,2.262,4.1328,80062,models/graph_knn/knn_opponent_k3_S2/checkpoints/epoch=32-val_loss=2.262.ckpt
knn_opponent,3,1,3,128,4,15,ts,866978,2.259,4.1223,80062,models/graph_knn/knn_opponent_k3_S3/checkpoints/epoch=38-val_loss=2.259.ckpt
knn_opponent,3,1,4,128,4,15,ts,866978,2.255,4.1102,80062,models/graph_knn/knn_opponent_k3_S4/checkpoints/epoch=48-val_loss=2.255.ckpt
knn_opponent,5,1,0,128,4,15,ts,866978,2.224,4.0883,80062,models/graph_knn/knn_opponent_k5_S0/checkpoints/epoch=37-val_loss=2.224.ckpt
knn_opponent,5,1,1,128,4,15,ts,866978,2.237,4.0858,80062,models/graph_knn/knn_opponent_k5_S1/checkpoints/epoch=37-val_loss=2.237.ckpt
knn_opponent,5,1,2,128,4,15,ts,866978,2.241,4.0917,80062,models/graph_knn/knn_opponent_k5_S2/checkpoints/epoch=42-val_loss=2.241.ckpt
knn_opponent,5,1,3,128,4,15,ts,866978,2.255,4.1282,80062,models/graph_knn/knn_opponent_k5_S3/checkpoints/epoch=28-val_loss=2.255.ckpt
knn_opponent,5,1,4,128,4,15,ts,866978,2.243,4.0863,80062,models/graph_knn/knn_opponent_k5_S4/checkpoints/epoch=38-val_loss=2.243.ckpt
knn_opponent,8,1,0,128,4,15,ts,866978,2.219,4.0472,80062,models/graph_knn/knn_opponent_k8_S0/checkpoints/epoch=44-val_loss=2.219.ckpt
knn_opponent,8,1,1,128,4,15,ts,866978,2.235,4.0866,80062,models/graph_knn/knn_opponent_k8_S1/checkpoints/epoch=44-val_loss=2.235.ckpt
knn_opponent,8,1,2,128,4,15,ts,866978,2.232,4.093,80062,models/graph_knn/knn_opponent_k8_S2/checkpoints/epoch=35-val_loss=2.232.ckpt
knn_opponent,8,1,3,128,4,15,ts,866978,2.244,4.1095,80062,models/graph_knn/knn_opponent_k8_S3/checkpoints/epoch=28-val_loss=2.244.ckpt
knn_opponent,8,1,4,128,4,15,ts,866978,2.24,4.1106,80062,models/graph_knn/knn_opponent_k8_S4/checkpoints/epoch=38-val_loss=2.240.ckpt
