model,arm,seed,feature_len,model_dim,num_layers,window,params,val_loss,test_ade,n_test_nonmirrored,best_ckpt
hybrid_ts,off,0,8,128,4,15,866866,2.26,4.0962,80062,models/physical_hybrid_ts/off_S0/checkpoints/epoch=32-val_loss=2.260.ckpt
hybrid_ts,off,1,8,128,4,15,866866,2.271,4.144,80062,models/physical_hybrid_ts/off_S1/checkpoints/epoch=24-val_loss=2.271.ckpt
hybrid_ts,off,2,8,128,4,15,866866,2.268,4.0949,80062,models/physical_hybrid_ts/off_S2/checkpoints/epoch=35-val_loss=2.268.ckpt
hybrid_ts,off,3,8,128,4,15,866866,2.25,4.0858,80062,models/physical_hybrid_ts/off_S3/checkpoints/epoch=24-val_loss=2.250.ckpt
hybrid_ts,off,4,8,128,4,15,866866,2.258,4.1168,80062,models/physical_hybrid_ts/off_S4/checkpoints/epoch=29-val_loss=2.258.ckpt
hybrid_ts,on,0,10,128,4,15,867638,2.293,4.151,80062,models/physical_hybrid_ts/on_S0/checkpoints/epoch=22-val_loss=2.293.ckpt
hybrid_ts,on,1,10,128,4,15,867638,2.298,4.1936,80062,models/physical_hybrid_ts/on_S1/checkpoints/epoch=19-val_loss=2.298.ckpt
hybrid_ts,on,2,10,128,4,15,867638,2.293,4.1817,80062,models/physical_hybrid_ts/on_S2/checkpoints/epoch=26-val_loss=2.293.ckpt
hybrid_ts,on,3,10,128,4,15,867638,2.284,4.18,80062,models/physical_hybrid_ts/on_S3/checkpoints/epoch=26-val_loss=2.284.ckpt
hybrid_ts,on,4,10,128,4,15,867638,2.279,4.1515,80062,models/physical_hybrid_ts/on_S4/checkpoints/epoch=27-val_loss=2.279.ckpt
transformer,off,0,8,128,2,1,418738,2.561,4.6381,80062,models/physical_transformer/off_S0/checkpoints/epoch=32-val_loss=2.561.ckpt
transformer,off,1,8,128,2,1,418738,2.544,4.5994,80062,models/physical_transformer/off_S1/checkpoints/epoch=44-val_loss=2.544.ckpt
transformer,off,2,8,128,2,1,418738,2.532,4.583,80062,models/physical_transformer/off_S2/checkpoints/epoch=40-val_loss=2.532.ckpt
transformer,off,3,8,128,2,1,418738,2.542,4.6245,80062,models/physical_transformer/off_S3/checkpoints/epoch=46-val_loss=2.542.ckpt
transformer,off,4,8,128,2,1,418738,2.533,4.5949,80062,models/physical_transformer/off_S4/checkpoints/epoch=57-val_loss=2.533.ckpt
transformer,on,0,10,128,2,1,418998,2.553,4.6118,80062,models/physical_transformer/on_S0/checkpoints/epoch=35-val_loss=2.553.ckpt
transformer,on,1,10,128,2,1,418998,2.555,4.6302,80062,models/physical_transformer/on_S1/checkpoints/epoch=40-val_loss=2.555.ckpt
transformer,on,2,10,128,2,1,418998,2.542,4.6122,80062,models/physical_transformer/on_S2/checkpoints/epoch=41-val_loss=2.542.ckpt
transformer,on,3,10,128,2,1,418998,2.539,4.5778,80062,models/physical_transformer/on_S3/checkpoints/epoch=42-val_loss=2.539.ckpt
transformer,on,4,10,128,2,1,418998,2.548,4.6034,80062,models/physical_transformer/on_S4/checkpoints/epoch=43-val_loss=2.548.ckpt
