model,arm,seed,feature_len,model_dim,num_layers,window,params,val_loss,test_ade,n_test_nonmirrored,best_ckpt
hybrid_ts,age,0,9,128,4,15,867252,2.282,4.1426,80062,models/player_features/age_S0/checkpoints/epoch=30-val_loss=2.282.ckpt
hybrid_ts,age,1,9,128,4,15,867252,2.276,4.132,80062,models/player_features/age_S1/checkpoints/epoch=28-val_loss=2.276.ckpt
hybrid_ts,age,2,9,128,4,15,867252,2.29,4.162,80062,models/player_features/age_S2/checkpoints/epoch=32-val_loss=2.290.ckpt
hybrid_ts,dynamics,0,12,128,4,15,868410,2.248,4.0944,80062,models/player_features/dynamics_S0/checkpoints/epoch=20-val_loss=2.248.ckpt
hybrid_ts,dynamics,1,12,128,4,15,868410,2.251,4.1147,80062,models/player_features/dynamics_S1/checkpoints/epoch=27-val_loss=2.251.ckpt
hybrid_ts,dynamics,2,12,128,4,15,868410,2.241,4.1074,80062,models/player_features/dynamics_S2/checkpoints/epoch=21-val_loss=2.241.ckpt
hybrid_ts,dynamics_bmi,0,14,128,4,15,869182,2.26,4.1177,80062,models/player_features/dynamics_bmi_S0/checkpoints/epoch=18-val_loss=2.260.ckpt
hybrid_ts,dynamics_bmi,1,14,128,4,15,869182,2.265,4.1264,80062,models/player_features/dynamics_bmi_S1/checkpoints/epoch=19-val_loss=2.265.ckpt
hybrid_ts,dynamics_bmi,2,14,128,4,15,869182,2.267,4.1081,80062,models/player_features/dynamics_bmi_S2/checkpoints/epoch=17-val_loss=2.267.ckpt
hybrid_ts,kinematics,0,11,128,4,15,868024,2.269,4.1148,80062,models/player_features/kinematics_S0/checkpoints/epoch=22-val_loss=2.269.ckpt
hybrid_ts,kinematics,1,11,128,4,15,868024,2.28,4.124,80062,models/player_features/kinematics_S1/checkpoints/epoch=22-val_loss=2.280.ckpt
hybrid_ts,kinematics,2,11,128,4,15,868024,2.267,4.1143,80062,models/player_features/kinematics_S2/checkpoints/epoch=20-val_loss=2.267.ckpt
hybrid_ts,position,0,27,128,4,15,874200,2.35,4.2745,80062,models/player_features/position_S0/checkpoints/epoch=16-val_loss=2.350.ckpt
hybrid_ts,position,1,27,128,4,15,874200,2.362,4.2955,80062,models/player_features/position_S1/checkpoints/epoch=15-val_loss=2.362.ckpt
hybrid_ts,position,2,27,128,4,15,874200,2.361,4.2489,80062,models/player_features/position_S2/checkpoints/epoch=19-val_loss=2.361.ckpt
hybrid_ts,position_bmi,0,29,128,4,15,874972,2.39,4.3119,80062,models/player_features/position_bmi_S0/checkpoints/epoch=12-val_loss=2.390.ckpt
hybrid_ts,position_bmi,1,29,128,4,15,874972,2.381,4.3287,80062,models/player_features/position_bmi_S1/checkpoints/epoch=16-val_loss=2.381.ckpt
hybrid_ts,position_bmi,2,29,128,4,15,874972,2.37,4.3085,80062,models/player_features/position_bmi_S2/checkpoints/epoch=16-val_loss=2.370.ckpt
