split,metric,zoo,transformer,improvement_pct,improvement_yards,n_plays,n_frames
train,ade_yards,4.72,3.97,15.9,0.75,8735,740590
val,ade_yards,5.58,4.33,22.4,1.25,1872,158500
test,ade_yards,5.48,4.25,22.4,1.23,1871,160124
test-event-pass_arrived,ade_yards,4.86,4.34,10.7,0.52,732,1466
test-event-ball_snap,ade_yards,8.51,8.49,0.2,0.02,958,1916
test-event-pass_outcome_caught,ade_yards,4.33,3.75,13.4,0.58,842,1684
test-event-run,ade_yards,7.63,6.49,14.9,1.14,142,284
test-event-handoff,ade_yards,6.34,6.38,-0.6,-0.04,887,1776
test-event-first_contact,ade_yards,3.77,2.6,31.0,1.17,1578,3156
test-event-out_of_bounds,ade_yards,4.77,1.41,70.4,3.36,272,544
test-event-tackle,ade_yards,3.74,0.97,74.1,2.77,1497,2994
test-frames-before-tackle-0-5,ade_yards,3.84,1.16,69.8,2.68,1871,9355
test-frames-before-tackle-10-15,ade_yards,3.48,1.81,48.0,1.67,1787,8679
test-frames-before-tackle-15-20,ade_yards,3.7,2.57,30.5,1.13,1651,7952
test-frames-before-tackle-20-25,ade_yards,4.21,3.61,14.3,0.6,1503,7228
test-frames-before-tackle-25-30,ade_yards,4.93,4.65,5.7,0.28,1349,6443
test-frames-before-tackle-30+,ade_yards,9.13,9.13,0.0,0.0,1199,23677
test-frames-before-tackle-5-10,ade_yards,3.61,1.38,61.8,2.23,1870,9248
test-frames-before-tackle-after tackle,ade_yards,4.23,1.16,72.6,3.07,1871,7480
