model_dim,num_layers,window_length,knn_k,val_ade,test_ade,params,inference_flops,best_epoch,val_loss
32,1,5,4,5.02,4.89,18120,1436720,50,2.734
32,1,10,4,4.75,4.67,18120,2307920,75,2.588
32,1,15,4,5.0,4.86,18120,3179120,37,2.724
32,1,20,4,5.0,4.86,18120,4050320,25,2.735
32,2,5,4,4.83,4.71,30838,1998864,41,2.627
32,2,10,4,4.8,4.69,30838,2870064,35,2.611
32,2,15,4,4.93,4.82,30838,3741264,43,2.689
32,2,20,4,4.73,4.64,30838,4612464,58,2.564
32,4,5,4,5.68,5.47,56274,3123152,9,3.147
32,4,10,4,4.54,4.48,56274,3994352,66,2.443
32,4,15,4,4.83,4.71,56274,4865552,28,2.615
32,4,20,4,4.49,4.39,56274,5736752,62,2.424
32,8,5,4,4.46,4.37,107146,5371728,40,2.404
32,8,10,4,4.32,4.25,107146,6242928,92,2.322
32,8,15,4,4.37,4.28,107146,7114128,71,2.35
32,8,20,4,4.44,4.36,107146,7985328,63,2.389
128,1,5,4,4.36,4.28,272078,20347232,70,2.347
128,1,10,4,4.31,4.26,272078,31936832,56,2.317
128,1,15,4,4.33,4.28,272078,43526432,43,2.338
128,1,20,4,4.3,4.25,272078,55116032,48,2.327
128,2,5,4,4.22,4.14,470378,29060640,53,2.267
128,2,10,4,4.24,4.19,470378,40650240,36,2.271
128,2,15,4,4.22,4.18,470378,52239840,43,2.273
128,2,20,4,4.26,4.19,470378,63829440,45,2.289
128,4,5,4,4.19,4.12,866978,46487456,49,2.247
128,4,10,4,4.18,4.09,866978,58077056,40,2.239
128,4,15,4,4.18,4.1,866978,69666656,33,2.236
128,4,20,4,4.16,4.09,866978,81256256,31,2.229
128,8,5,4,4.18,4.07,1660178,81341088,25,2.235
128,8,10,4,4.14,4.05,1660178,92930688,33,2.225
128,8,15,4,4.17,4.12,1660178,104520288,31,2.234
128,8,20,4,4.17,4.09,1660178,116109888,28,2.228
