variant,ordering,topology,knn_k,val_ade,test_ade,params,best_epoch,val_loss
stgnn_ts_knn_hybrid_hub,ts,knn_hybrid_hub,4,4.24,4.12,866978,21,2.275
stgnn_ts_knn_hub,ts,knn_hub,4,4.24,4.16,866978,20,2.276
stgnn_ts_knn_same_hub,ts,knn_same_hub,4,4.21,4.16,866978,21,2.267
stgnn_ts_full,ts,full,4,4.29,4.2,866978,12,2.308
stgnn_ts_knn_cross_hub,ts,knn_cross_hub,4,4.26,4.2,866978,12,2.288
stgnn_ts_hub,ts,hub,4,4.3,4.21,866978,10,2.304
stgnn_ts_knn_cross,ts,knn_cross,4,4.31,4.22,866978,19,2.319
stgnn_ts_knn,ts,knn,4,4.31,4.25,866978,11,2.329
stgnn_ts_knn_hybrid,ts,knn_hybrid,4,4.34,4.28,866978,14,2.334
stgnn_ts_knn_same,ts,knn_same,4,4.42,4.38,866978,17,2.392
stgnn_st_knn_hybrid_hub,st,knn_hybrid_hub,4,4.74,4.6,914466,4,2.568
stgnn_st_knn_hub,st,knn_hub,4,4.73,4.61,914466,8,2.578
stgnn_st_knn_cross_hub,st,knn_cross_hub,4,4.72,4.62,914466,7,2.575
stgnn_st_knn_same_hub,st,knn_same_hub,4,4.74,4.63,914466,7,2.573
stgnn_st_hub,st,hub,4,4.69,4.63,914466,5,2.548
stgnn_st_full,st,full,4,4.73,4.65,914466,4,2.583
stgnn_st_bipartite,st,bipartite,4,4.74,4.66,914466,6,2.576
stgnn_st_knn_cross,st,knn_cross,4,4.79,4.73,914466,6,2.607
stgnn_st_knn,st,knn,4,4.79,4.74,914466,5,2.61
stgnn_ts_bipartite,ts,bipartite,4,4.98,4.79,866978,0,2.707
stgnn_st_knn_same,st,knn_same,4,4.88,4.82,914466,9,2.67
stgnn_st_knn_hybrid,st,knn_hybrid,4,5.46,5.26,914466,0,2.999
